asset_id,canonical_path,category,subcategory,asset_type,entity_name,direction,animation_state,frame,source_zip,source_path,sha256,status,notes,visual_master_status
A00001,,,,DOCUMENTATION,,,,,BRAMBLE_10_Asset_Kits.zip,BRAMBLE_10_Asset_Kits/ANIMATION_PREVIEW.html,cb363209a9a465da44c511606ccdaab51edb3e8408a29b03cf9884f034169564,skipped,,
A00002,,,,DOCUMENTATION,,,,,BRAMBLE_10_Asset_Kits.zip,BRAMBLE_10_Asset_Kits/KIT_INDEX.md,9675b1854bc8e9b9b7e96b39e67702264f3fcaf91c0815fbde4c908c83ae03ed,skipped,,
A00003,,,,DOCUMENTATION,,,,,BRAMBLE_21_29.zip,BRAMBLE_21_29/README.md,a269dbf250c816b4e46140b4bb7d25d59cd53a5cb98c5981b649bd16c9200dbf,skipped,,
A00004,,,,DOCUMENTATION,,,,,BRAMBLE_30_35.zip,BRAMBLE_30_35/README.md,30feee0a2a8757f9aac6358c4909961b2eff87fd8ef7cbb7f821297c90949d19,skipped,,
A00005,,,,DOCUMENTATION,,,,,BRAMBLE_36_37.zip,BRAMBLE_36_37/WORLD_CAMERA_SPEC.md,1b3fad3d8846d337616e24208588c55137f413a0d606c4d7f1901a6384f75be9,skipped,,
A00006,,,,DOCUMENTATION,,,,,BRAMBLE_38_43.zip,BRAMBLE_38_43/NEXT_KITS.md,991da527df7821d982191e9258d7d0b7f4b78ddf99f9e68977d673fba2823002,skipped,,
A00007,,,,DOCUMENTATION,,,,,BRAMBLE_38_43.zip,BRAMBLE_38_43/QA_SUMMARY.txt,f268e32575998cd18aa7f6ab8c525b53f0402c8857eedf5e1ecb6f524cd6cdfc,skipped,,
A00008,,,,DOCUMENTATION,,,,,BRAMBLE_38_43.zip,BRAMBLE_38_43/README.md,1e042fbb6a62cf5e77e2102b5a063dd173ebadb2a7ad168ddca0edfde0a56b54,skipped,,
A00009,,,,DOCUMENTATION,,,,,BRAMBLE_44_48.zip,BRAMBLE_44_48/README.md,3d81329d67b9c489e72b06d63663aa2dbced24019af3187213d732ca89e4a260,skipped,,
A00010,,,,DOCUMENTATION,,,,,BRAMBLE_49_53.zip,BRAMBLE_49_53/README.md,2cc2f6f67fefae5b61f5713a27e38be82bda523fb53eefe84aa4f4c9707ff645,skipped,,
A00011,,,,DOCUMENTATION,,,,,BRAMBLE_54_63.zip,BRAMBLE_54_63/README.md,a25510ece8b15dd286ed50d0c67dffe271c75aadc2099a48dd856fe95669853e,skipped,,
A00012,,,,DOCUMENTATION,,,,,BRAMBLE_ANIMATION_KITS_64_73.zip,BRAMBLE_64_73/README.md,6e4181e8fdf3503dd5876d92aa35ccbf73168dd4e664a295ecbe315218ef89dd,skipped,,
A00013,,,,DOCUMENTATION,,,,,BRAMBLE_KITS_74_83.zip,BRAMBLE_74_83/README.md,df5e8fe5d7158af774fc73a86b5b53aa881815cc7794f531c86b4aa19e6a8f4d,skipped,,
